"Title","Body","Labels"
"INV-03: Automatischer Preisvergleich","**User Story:** Als **System** möchte ich automatisch die **Preise von Online-Shops** für ein Material vergleichen, um den günstigsten Anbieter vorzuschlagen.","Feature,Bestandsmanagement,Innovativ,Priorität: Nice-to-have,Aufwand: Hoch"
"INV-04: Analytics-Dashboard","**User Story:** Als **Betreiber** möchte ich ein **Analytics-Dashboard** sehen, das mir Bestseller-Materialien und den Gesamtverbrauch anzeigt.","Feature,Reporting,Priorität: Should-have,Aufwand: Hoch"
"ADV-03: Erweiterung für Meterware","**User Story:** Als **Betreiber** möchte ich das **System für Meterware** (Stoffe, Fäden) mit einem Längen- statt Gewichtssensor erweitern können.","Feature,Meterware,Innovativ,Priorität: Nice-to-have,Aufwand: Hoch"
"ADV-04: Tara-Plausibilisierung","**User Story:** Als **System** möchte ich die **Tara-Wiegung plausibilisieren** und bei starken Abweichungen eine Warnung ausgeben, um Manipulationen zu erkennen.","Feature,Sicherheit,Priorität: Must-have,Aufwand: Mittel"
"ADV-05: Sprachumschaltung (i18n)","**User Story:** Als **Kunde** möchte ich die **Sprache der Benutzeroberfläche** (z.B. Deutsch/Englisch) umschalten können.","Feature,UX,Priorität: Should-have,Aufwand: Mittel"
"ERP-01: ERP/WMS-Anbindung via API","**User Story:** Als **System** möchte ich über eine **REST-API** verfügen, um Entnahmedaten in Echtzeit an ein **ERP- oder WMS-System** zu melden.","Feature,Industrie,API,Priorität: Nice-to-have,Aufwand: Hoch"
"ERP-02: Kostenstellen-Zuordnung","**User Story:** Als **Lagerleiter** möchte ich **Kostenstellen oder Fertigungsaufträge** im System anlegen, damit Mitarbeiter Entnahmen direkt einem Projekt zuordnen können.","Feature,Industrie,Priorität: Nice-to-have,Aufwand: Mittel"
"PRO-01: Pick-by-Light","**User Story:** Als **Mitarbeiter** möchte ich eine **Pick-by-Light-Funktion**, bei der die LED an der richtigen Box aufleuchtet, um die Entnahme zu beschleunigen.","Feature,Industrie,UX,Priorität: Nice-to-have,Aufwand: Mittel"
"QUAL-01: Automatisierte Tests einrichten","**User Story:** Als **Entwickler** möchte ich **automatisierte Tests** einrichten, um Regressionen zu verhindern.

**Akzeptanzkriterien:**
- [ ] `pytest` ist im Projekt eingerichtet.
- [ ] Ein erster Test für eine Kernroute existiert und läuft erfolgreich.","Qualität,Infrastruktur,Priorität: Should-have,Aufwand: Mittel"
"QUAL-03: CI/CD-Pipeline aufsetzen","**User Story:** Als **Entwickler** möchte ich eine **CI/CD-Pipeline** aufsetzen, die bei jedem Push automatisch Tests ausführt.

**Abhängigkeiten:** QUAL-01","Qualität,Infrastruktur,Priorität: Should-have,Aufwand: Hoch"
"QUAL-04: Anwendung containerisieren","**User Story:** Als **Entwickler** möchte ich die Anwendung in **Docker-Container** verpacken, um das Setup zu vereinfachen.","Qualität,Infrastruktur,Priorität: Should-have,Aufwand: Hoch"
"OPS-01: Strukturiertes Logging","**User Story:** Als **Betreiber** möchte ich ein **strukturiertes Logging** haben, um Fehler im laufenden Betrieb schnell analysieren zu können.","Qualität,Infrastruktur,Priorität: Should-have,Aufwand: Mittel"
"OPS-02: Monitoring-Dashboard","**User Story:** Als **Betreiber** möchte ich ein **Monitoring-Dashboard** haben, um den Systemzustand live zu überwachen.","Feature,Reporting,Priorität: Nice-to-have,Aufwand: Hoch"
"OPS-03: Systemkonfiguration mit Ansible","**User Story:** Als **Entwickler** möchte ich die **Systemkonfiguration (des Raspberry Pi) mit Ansible automatisieren**, um neue Stationen schnell und identisch aufsetzen zu können.","Qualität,Infrastruktur,Priorität: Nice-to-have,Aufwand: Hoch"
"API-01: API-Dokumentation mit OpenAPI","**User Story:** Als **Entwickler** möchte ich die **System-API mit OpenAPI (Swagger) dokumentieren**, um die Anbindung weiterer Clients (z.B. mobile App) zu erleichtern.","Qualität,Infrastruktur,Priorität: Nice-to-have,Aufwand: Mittel"
